Comment,Target,Field,ENABLED
Extract Id from all Salesforce Tables,*,Id,Y
Extract LastModifiedDate from all Salesforce Tables,*,LastModifiedDate,Y
,AccountExtract,AccountSource,Y
,AccountExtract,AnnualRevenue,Y
,AccountExtract,BillingCity,Y
,AccountExtract,BillingCountry,Y
,AccountExtract,BillingLatitude,Y
,AccountExtract,BillingLongitude,Y
,AccountExtract,BillingPostalCode,Y
,AccountExtract,BillingState,Y
,AccountExtract,CreatedDate,Y
,AccountExtract,CurrencyIsoCode,Y
,AccountExtract,Description,Y
,AccountExtract,Industry,Y
,AccountExtract,IsDeleted,Y
,AccountExtract,IsPartner,Y
,AccountExtract,Name,Y
,AccountExtract,OwnerId,Y
,AccountExtract,ParentId,Y
,AccountExtract,Phone,Y
,AccountExtract,Type,Y
,CaseExtract,AccountId,Y
,CaseExtract,CaseNumber,Y
,CaseExtract,ClosedDate,Y
,CaseExtract,ContactId,Y
,CaseExtract,CreatedDate,Y
,CaseExtract,Description,Y
,CaseExtract,IsClosed,Y
,CaseExtract,Origin,Y
,CaseExtract,OwnerId,Y
,CaseExtract,Priority,Y
,CaseExtract,Reason,Y
,CaseExtract,Status,Y
,CaseExtract,Subject,Y
,CaseExtract,SuppliedCompany,Y
,CaseExtract,SuppliedEmail,Y
,CaseExtract,SuppliedName,Y
,CaseExtract,SuppliedPhone,Y
,CaseExtract,Type,Y
,ContactExtract,AccountId,Y
,ContactExtract,Department,Y
,ContactExtract,Description,Y
,ContactExtract,Email,Y
,ContactExtract,FirstName,Y
,ContactExtract,LastName,Y
,ContactExtract,MailingCity,Y
,ContactExtract,MailingCountry,Y
,ContactExtract,MailingState,Y
,ContactExtract,MobilePhone,Y
,ContactExtract,OwnerId,Y
,ContactExtract,Phone,Y
,ContactExtract,Salutation,Y
,OpportunityExtract,AccountId,Y
,OpportunityExtract,Amount,Y
,OpportunityExtract,CloseDate,Y
,OpportunityExtract,CreatedDate,Y
,OpportunityExtract,Description,Y
,OpportunityExtract,ForecastCategory,Y
,OpportunityExtract,IsClosed,Y
,OpportunityExtract,IsWon,Y
,OpportunityExtract,Name,Y
,OpportunityExtract,NextStep,Y
,OpportunityExtract,OwnerId,Y
,OpportunityExtract,Probability,Y
,OpportunityExtract,StageName,Y
,OpportunityExtract,Type,Y
,OpportunityLineItemExtract,CreatedDate,Y
,OpportunityLineItemExtract,CurrencyIsoCode,Y
,OpportunityLineItemExtract,Description,Y
,OpportunityLineItemExtract,Discount,Y
,OpportunityLineItemExtract,IsDeleted,Y
,OpportunityLineItemExtract,ListPrice,Y
,OpportunityLineItemExtract,Name,Y
,OpportunityLineItemExtract,OpportunityId,Y
,OpportunityLineItemExtract,PricebookEntryId,Y
,OpportunityLineItemExtract,Product2Id,Y
,OpportunityLineItemExtract,ProductCode,Y
,OpportunityLineItemExtract,Quantity,Y
,OpportunityLineItemExtract,TotalPrice,Y
,OpportunityLineItemExtract,UnitPrice,Y
,PricebookEntryExtract,CurrencyIsoCode,Y
,PricebookEntryExtract,IsActive,Y
,PricebookEntryExtract,IsDeleted,Y
,PricebookEntryExtract,Name,Y
,PricebookEntryExtract,Pricebook2Id,Y
,PricebookEntryExtract,Product2Id,Y
,PricebookEntryExtract,ProductCode,Y
,PricebookEntryExtract,UnitPrice,Y
,PricebookEntryExtract,UseStandardPrice,Y
,Product2Extract,CurrencyIsoCode,Y
,Product2Extract,Description,Y
,Product2Extract,Family,Y
,Product2Extract,IsActive,Y
,Product2Extract,IsDeleted,Y
,Product2Extract,Name,Y
,Product2Extract,NumberOfRevenueInstallments,Y
,Product2Extract,ProductCode,Y
,Product2Extract,RevenueInstallmentPeriod,Y
,Product2Extract,RevenueScheduleType,Y
,Product2Extract,SystemModstamp,Y
,TimeCardExtract,CreatedDate,Y
,TimeCardExtract,CurrencyIsoCode,Y
,TimeCardExtract,IsDeleted,Y
,TimeCardExtract,Name,Y
,TimeCardExtract,pse__Approved__c,Y
,TimeCardExtract,pse__Bill_Date__c,Y
,TimeCardExtract,pse__Billable__c,Y
,TimeCardExtract,pse__Billing_Event_Status__c,Y
,TimeCardExtract,pse__End_Date__c,Y
,TimeCardExtract,pse__Invoice_Date__c,Y
,TimeCardExtract,pse__Project__c,Y
,TimeCardExtract,pse__Resource__c,Y
,TimeCardExtract,pse__Resource__c,Y
,TimeCardExtract,pse__Start_Date__c,Y
,TimeCardExtract,pse__Status__c,Y
,TimeCardExtract,pse__Total_Billable_Amount__c,Y
,TimeCardExtract,pse__Total_Billable_Amount__c,Y
,TimeCardExtract,pse__Total_Hours__c,Y
,TimeCardExtract,pse__Total_Hours__c,Y
,UserExtract,Alias,Y
,UserExtract,City,Y
,UserExtract,CompanyName,Y
,UserExtract,Country,Y
,UserExtract,Email,Y
,UserExtract,EmployeeNumber,Y
,UserExtract,FirstName,Y
,UserExtract,LastLoginDate,Y
,UserExtract,LastName,Y
,UserExtract,MobilePhone,Y
,UserExtract,Phone,Y
,UserExtract,PostalCode,Y
,UserExtract,State,Y
,UserExtract,Username,Y
